Image_Name,First_order_moment,,,Second_order_moment,,,Third_order_moment,,,class
 'Polluted_water\\images (19)(2).jpg',1.2001,1.2511,1.3163,0.442,0.4345,0.4621,0.0024,0.0018,0.0006,Polluted
 'Polluted_water\\images (19).jpg',0.9059,1.1991,1.0139,0.3334,0.2988,0.3363,0.0063,0.0061,0.0054,Polluted
 'Polluted_water\\images (2)(1).jpg',1.7565,1.7139,0.9585,0.151,0.1649,0.2193,0.0023,0.0029,0.0117,Polluted
 'Polluted_water\\images (2)(2).jpg',1.2359,1.4562,1.3428,0.2579,0.2579,0.293,0.0079,0.0062,0.0047,Polluted
 'Polluted_water\\images (2).jpg',1.3761,1.5911,1.6597,0.5842,0.5467,0.6637,0.0004,-0.0007,-0.0028,Polluted
 'Polluted_water\\images (20)(1).jpg',1.3919,1.5357,1.2998,0.1494,0.155,0.1752,0.004,0.004,0.0047,Polluted
 'Polluted_water\\images (20)(2).jpg',1.453,1.6269,1.3415,0.284,0.2761,0.2925,0.0061,0.0055,0.0058,Polluted
 'Polluted_water\\images (20).jpg',1.2467,1.3687,1.2198,0.4637,0.4671,0.4961,0.0067,0.0062,0.0069,Polluted
 'Polluted_water\\images (21)(1).jpg',0.7314,0.7632,0.6681,0.3073,0.3227,0.3392,0.0111,0.0119,0.0119,Polluted
 'Polluted_water\\images (21)(2).jpg',1.2467,1.3687,1.2198,0.4637,0.4671,0.4961,0.0067,0.0062,0.0069,Polluted
 'Polluted_water\\images (21).jpg',0.6722,1.2141,1.1388,0.372,0.3355,0.3479,0.0053,0.0038,0.0036,Polluted
 'Polluted_water\\images (22)(1).jpg',1.0409,1.1139,0.8994,0.1639,0.1951,0.3344,-0.0028,-0.0016,0.0017,Polluted
 'Polluted_water\\images (22)(2).jpg',1.3044,1.4488,1.4324,0.154,0.1734,0.2302,-0.0012,-0.0002,-0.0006,Polluted
 'Polluted_water\\images (22).jpg',0.9059,1.1991,1.0139,0.3334,0.2988,0.3363,0.0063,0.0061,0.0054,Polluted
 'Polluted_water\\images (23)(1).jpg',1.429,1.471,1.3345,0.4154,0.428,0.443,0.0032,0.003,0.0024,Polluted
 'Polluted_water\\images (23)(2).jpg',1.4542,1.461,1.4367,0.3282,0.3354,0.357,-0.0031,-0.0033,-0.0035,Polluted
 'Polluted_water\\images (23).jpg',1.0724,1.3025,1.1498,0.2291,0.2334,0.2266,0.0093,0.0081,0.0093,Polluted
 'Polluted_water\\images (24)(1).jpg',1.0346,1.0531,0.8887,0.3405,0.325,0.3336,-0.0007,0.0002,0.0037,Polluted
 'Polluted_water\\images (24)(2).jpg',1.2312,1.2875,1.0945,0.4106,0.4045,0.4444,-0.0073,-0.0072,-0.0067,Polluted
 'Polluted_water\\images (24).jpg',1.2738,1.483,1.5887,0.1827,0.2133,0.297,0.0033,0.0017,-0.003,Polluted
 'Polluted_water\\images (25)(1).jpg',1.3775,1.5039,1.3395,0.3032,0.3044,0.408,0.0001,-0.0002,-0.001,Polluted
 'Polluted_water\\images (25)(2).jpg',1.1383,1.2095,1.0614,0.6974,0.6975,0.8082,0.0055,0.004,0.0047,Polluted
 'Polluted_water\\images (25).jpg',1.0967,1.1531,1.1452,0.3707,0.3849,0.4349,0.0062,0.0058,0.0058,Polluted
 'Polluted_water\\images (26)(1).jpg',1.3421,1.3374,0.96,0.3668,0.3628,0.5756,0.0031,0.003,0.004,Polluted
 'Polluted_water\\images (26)(2).jpg',0.9937,1.2341,1.0269,0.2213,0.2314,0.2639,0.0028,0.0007,-0.0008,Polluted
 'Polluted_water\\images (26).jpg',0.9937,1.2341,1.0269,0.2213,0.2314,0.2639,0.0028,0.0007,-0.0008,Polluted
 'Polluted_water\\images (27)(1).jpg',1.7565,1.7139,0.9585,0.151,0.1649,0.2193,0.0023,0.0029,0.0117,Polluted
 'Polluted_water\\images (27)(2).jpg',1.2481,1.4733,1.1395,0.0916,0.1102,0.2486,0.0091,0.0188,0.0117,Polluted
 'Polluted_water\\images (27).jpg',1.0574,1.3254,1.2701,0.3433,0.2677,0.2763,0.0047,0.0048,0.0054,Polluted
 'Polluted_water\\images (28)(1).jpg',0.9223,1.0451,0.6922,0.1185,0.1302,0.2552,0.0036,0.0017,-0.0005,Polluted
 'Polluted_water\\images (28)(2).jpg',1.5296,1.5482,1.5944,0.1353,0.1613,0.2586,0.002,0.0021,0.0012,Polluted
 'Polluted_water\\images (28).jpg',1.286,1.3331,1.3063,0.4445,0.3752,0.3643,0.0005,0.0008,0.0002,Polluted
 'Polluted_water\\images (29)(1).jpg',1.0346,1.0531,0.8887,0.3405,0.325,0.3336,-0.0007,0.0002,0.0037,Polluted
 'Polluted_water\\images (29)(2).jpg',1.3432,1.3383,0.9547,0.3688,0.3649,0.5778,0.003,0.003,0.004,Polluted
 'Polluted_water\\images (29).jpg',1.4439,1.4988,1.5142,0.3883,0.4348,0.4522,0.0014,0.0011,0.0007,Polluted
 'Polluted_water\\images (3)(1).jpg',1.453,1.6269,1.3415,0.284,0.2761,0.2925,0.0061,0.0055,0.0058,Polluted
 'Polluted_water\\images (3)(2).jpg',1.6192,1.5591,1.3963,0.1555,0.1596,0.1883,0.004,0.0043,0.0052,Polluted
 'Polluted_water\\images (3).jpg',1.2096,1.3307,1.3557,0.4029,0.4145,0.4405,0.0005,0.0001,-0.0002,Polluted
 'Polluted_water\\images (30)(1).jpg',1.2507,1.323,1.058,0.2862,0.2731,0.3703,0.0058,0.0034,0.0051,Polluted
 'Polluted_water\\images (30)(2).jpg',1.4499,1.4173,1.0071,0.3533,0.3249,0.4859,0.005,0.0074,0.0111,Polluted
 'Polluted_water\\images (30).jpg',1.5954,1.5666,1.5823,0.4118,0.3816,0.4475,0.006,0.0059,0.0068,Polluted
 'Polluted_water\\images (31)(1).jpg',1.553,1.5714,1.1472,0.2631,0.2778,0.4629,-0.0005,-0.0005,0.0015,Polluted
 'Polluted_water\\images (31)(2).jpg',1.3922,1.4014,1.3505,0.285,0.2792,0.3232,0.0063,0.0064,0.0056,Polluted
 'Polluted_water\\images (31).jpg',1.2739,1.2624,1.2747,0.3242,0.3179,0.342,-0.0056,-0.0053,-0.0062,Polluted
 'Polluted_water\\images (32)(1).jpg',1.3082,1.3337,1.1976,0.8051,0.8138,0.7775,-0.0074,-0.0078,-0.0047,Polluted
 'Polluted_water\\images (32)(2).jpg',1.5651,1.5694,1.5555,0.2698,0.2791,0.2977,0.0029,0.0036,0.003,Polluted
 'Polluted_water\\images (32).jpg',1.6632,1.6506,1.6392,0.4233,0.4395,0.4568,-0.0125,-0.0128,-0.0127,Polluted
 'Polluted_water\\images (33)(1).jpg',1.2242,1.4504,1.1344,0.1498,0.1318,0.2147,0.0073,0.0088,0.0059,Polluted
 'Polluted_water\\images (33)(2).jpg',1.62,1.6204,1.6362,0.3312,0.3284,0.3621,-0.0021,-0.002,-0.0024,Polluted
 'Polluted_water\\images (33).jpg',1.2543,1.2847,1.3762,0.319,0.3209,0.3576,0.0044,0.0046,0.0049,Polluted
 'Polluted_water\\images (34)(1).jpg',1.2773,1.2915,1.0652,0.0559,0.0561,0.0749,0.0012,0.0023,0.0062,Polluted
 'Polluted_water\\images (34)(2).jpg',1.5121,1.5404,1.4667,0.526,0.566,0.6295,0.003,0.0029,0.0023,Polluted
 'Polluted_water\\images (34).jpg',1.3627,1.3731,1.2906,0.5855,0.5777,0.6448,-0.0002,-0.0001,-0.002,Polluted
 'Polluted_water\\images (35)(1).jpg',1.3421,1.3374,0.96,0.3668,0.3628,0.5756,0.0031,0.003,0.004,Polluted
 'Polluted_water\\images (35)(2).jpg',1.0358,1.0674,0.7916,0.494,0.4892,0.5058,0.0104,0.0096,0.0177,Polluted
 'Polluted_water\\images (35).jpg',1.2001,1.2511,1.3163,0.442,0.4345,0.4621,0.0024,0.0018,0.0006,Polluted
 'Polluted_water\\images (36)(1).jpg',1.4277,1.457,0.9679,0.3679,0.3409,0.374,-0.0076,-0.0076,-0.006,Polluted
 'Polluted_water\\images (36)(2).jpg',1.4292,1.4817,1.3969,0.1957,0.192,0.2124,0.0006,0.0005,0.0007,Polluted
 'Polluted_water\\images (36).jpg',1.6502,1.6476,1.5571,0.2563,0.259,0.3116,0.0042,0.0044,0.0017,Polluted
 'Polluted_water\\images (37)(1).jpg',1.0409,1.1139,0.8994,0.1639,0.1951,0.3344,-0.0028,-0.0016,0.0017,Polluted
 'Polluted_water\\images (37)(2).jpg',0.58,0.79,0.7916,0.2411,0.2779,0.3659,0.0124,0.0101,0.0082,Polluted
 'Polluted_water\\images (37).jpg',1.2001,1.2511,1.3163,0.442,0.4345,0.4621,0.0024,0.0018,0.0006,Polluted
 'Polluted_water\\images (38)(1).jpg',1.7782,2.0178,1.5667,0.0949,0.0997,0.1603,0.0095,0.0057,0.0094,Polluted
 'Polluted_water\\images (38)(2).jpg',1.1463,1.3806,1.2438,0.2574,0.2234,0.2735,-0.0031,-0.0033,-0.0032,Polluted
 'Polluted_water\\images (38).jpg',1.6502,1.6476,1.5571,0.2563,0.259,0.3116,0.0042,0.0044,0.0017,Polluted
 'Polluted_water\\images (39)(1).jpg',1.1368,1.2103,0.8348,0.3124,0.306,0.3795,0.0096,0.0092,0.01,Polluted
 'Polluted_water\\images (39)(2).jpg',1.3998,1.4383,1.3571,0.2666,0.2839,0.3891,0.0095,0.0085,0.0065,Polluted
 'Polluted_water\\images (39).jpg',1.4871,1.4583,1.3861,0.4996,0.5158,0.5452,-0.0081,-0.0076,-0.0072,Polluted
 'Polluted_water\\images (4)(1).jpg',1.2467,1.3687,1.2198,0.4637,0.4671,0.4961,0.0067,0.0062,0.0069,Polluted
 'Polluted_water\\images (4)(2).jpg',1.041,1.1293,0.9935,0.4598,0.4792,0.5029,0.0018,0.0016,0.0033,Polluted
 'Polluted_water\\images (4).jpg',0.7499,1.148,1.3689,0.3844,0.4113,0.5185,0.0004,0.0002,-0.0012,Polluted
 'Polluted_water\\images (40)(1).jpg',1.429,1.471,1.3345,0.4154,0.428,0.443,0.0032,0.003,0.0024,Polluted
 'Polluted_water\\images (40)(2).jpg',1.0777,1.2276,1.1025,0.4631,0.462,0.5136,0.0001,-0.0003,-0.001,Polluted
 'Polluted_water\\images (40).jpg',1.6444,1.6642,1.6111,0.4984,0.4975,0.5399,0.0014,0.001,0.0008,Polluted
 'Polluted_water\\images (41)(1).jpg',1.3475,1.3189,0.5074,0.165,0.1555,0.2095,0.0046,0.0037,0.0042,Polluted
 'Polluted_water\\images (41)(2).jpg',0.9702,0.9939,1.023,0.6304,0.6392,0.6406,0.0064,0.006,0.0052,Polluted
 'Polluted_water\\images (41).jpg',1.8118,1.8063,1.773,0.2829,0.274,0.2906,0.0007,0.0006,0.0003,Polluted
 'Polluted_water\\images (42)(1).jpg',1.2183,1.2153,0.9648,0.4318,0.4315,0.6026,0.0017,0.0018,0.0027,Polluted
 'Polluted_water\\images (42)(2).jpg',1.2318,1.3703,1.3339,0.2174,0.2088,0.2262,-0.0041,-0.0044,-0.004,Polluted
 'Polluted_water\\images (42).jpg',1.1728,1.1721,1.1474,0.5424,0.5356,0.5657,0.0032,0.0031,0.0035,Polluted
 'Polluted_water\\images (43)(1).jpg',1.2312,1.2875,1.0945,0.4106,0.4045,0.4444,-0.0073,-0.0072,-0.0067,Polluted
 'Polluted_water\\images (43)(2).jpg',1.4033,1.4069,1.2345,0.4803,0.4818,0.4731,-0.0098,-0.0097,-0.0091,Polluted
 'Polluted_water\\images (43).jpg',1.5953,1.6105,1.5467,0.4244,0.3914,0.5176,-0.0135,-0.0105,-0.0155,Polluted
 'Polluted_water\\images (44)(1).jpg',1.5703,1.6634,1.5151,0.3687,0.3422,0.4626,0.0045,0.0039,0.003,Polluted
 'Polluted_water\\images (44)(2).jpg',1.1657,1.3462,0.9267,0.2196,0.2119,0.2608,0.0072,0.007,0.0092,Polluted
 'Polluted_water\\images (44).jpg',1.6302,1.6227,1.6528,0.2532,0.2525,0.2518,0.0004,0.0002,-0.0002,Polluted
 'Polluted_water\\images (45)(1).jpg',1.3528,1.3231,1.2204,0.2489,0.2705,0.3374,0.0026,0.0016,0.0043,Polluted
 'Polluted_water\\images (45)(2).jpg',1.3708,1.5662,1.5429,0.6584,0.5426,0.6388,0.0036,0.004,0.0023,Polluted
 'Polluted_water\\images (45).jpg',1.3893,1.3926,1.4301,0.3894,0.4126,0.4541,0.0022,0.0023,0.0024,Polluted
 'Polluted_water\\images (46)(1).jpg',1.3998,1.4383,1.3571,0.2666,0.2839,0.3891,0.0095,0.0085,0.0065,Polluted
 'Polluted_water\\images (46)(2).jpg',1.0346,1.0531,0.8887,0.3405,0.325,0.3336,-0.0007,0.0002,0.0037,Polluted
 'Polluted_water\\images (46).jpg',1.5734,1.616,1.6157,0.2579,0.289,0.4075,-0.0001,-0.0001,-0.0008,Polluted
 'Polluted_water\\images (47)(1).jpg',1.559,1.7995,1.5964,0.2874,0.2284,0.3033,0.0049,0.0024,0.0048,Polluted
 'Polluted_water\\images (47)(2).jpg',0.7579,0.8183,0.8699,0.5209,0.4598,0.4916,0.0014,0.0013,0,Polluted
 'Polluted_water\\images (47).jpg',1.4644,1.4452,1.4081,0.2696,0.266,0.3251,0.0006,0.0003,0.0012,Polluted
 'Polluted_water\\images (48)(1).jpg',1.2401,1.1945,0.9967,0.2874,0.2726,0.266,-0.0056,-0.006,-0.0072,Polluted
 'Polluted_water\\images (48)(2).jpg',1.2043,1.2346,1.1813,0.4957,0.4757,0.5143,0.0008,0.0007,-0.0001,Polluted
 'Polluted_water\\images (48).jpg',0.9168,0.9701,0.9919,0.6451,0.6234,0.5996,0.0044,0.0047,0.0059,Polluted
 'Polluted_water\\images (49)(1).jpg',1.5285,1.5276,1.4853,0.2759,0.2979,0.388,-0.0025,-0.003,-0.0036,Polluted
 'Polluted_water\\images (49)(2).jpg',0.7881,0.6886,0.5093,0.1427,0.1651,0.1969,-0.0042,-0.0029,-0.0011,Polluted
 'Polluted_water\\images (49).jpg',0.6469,0.6342,0.6645,0.2254,0.2211,0.227,-0.0001,0.0005,0.0007,Polluted
 'Polluted_water\\images (5)(1).jpg',1.2376,1.2477,1.19,0.4171,0.4186,0.4396,0.0013,0.0012,0.0019,Polluted
 'Polluted_water\\images (5)(2).jpg',1.101,1.1877,0.8844,0.3549,0.3475,0.4242,0.0132,0.0131,0.0164,Polluted
 'Polluted_water\\images (5).jpg',1.5078,1.6202,1.5612,0.153,0.1618,0.2325,0.0023,0.003,0.0058,Polluted
 'Polluted_water\\images (50)(1).jpg',1.2231,1.306,1.0258,0.2714,0.2727,0.4634,0.011,0.011,0.0056,Polluted
 'Polluted_water\\images (50)(2).jpg',1.2064,1.2936,1.2531,0.1921,0.1924,0.2376,0.0052,0.0045,-0.0002,Polluted
 'Polluted_water\\images (50).jpg',1.2205,1.3037,1.4423,0.7312,0.7408,0.7763,-0.0045,-0.0045,-0.0054,Polluted
 'Polluted_water\\images (51)(1).jpg',1.4943,1.4603,1.3034,0.4766,0.4953,0.6321,-0.001,0.0008,-0.0005,Polluted
 'Polluted_water\\images (51)(2).jpg',1.0409,1.1139,0.8994,0.1639,0.1951,0.3344,-0.0028,-0.0016,0.0017,Polluted
 'Polluted_water\\images (51).jpg',1.6141,1.5895,1.5586,0.4356,0.4459,0.4637,-0.0013,-0.0011,-0.0026,Polluted
 'Polluted_water\\images (52)(1).jpg',1.6049,1.5681,1.358,0.3463,0.3981,0.563,0.0016,0.0015,0.0008,Polluted
 'Polluted_water\\images (52)(2).jpg',1.2639,1.2642,1.2521,0.2368,0.2364,0.2364,-0.0062,-0.0061,-0.0061,Polluted
 'Polluted_water\\images (52).jpg',1.6365,1.7581,1.8414,0.2422,0.2363,0.2503,-0.005,-0.0052,-0.0052,Polluted
 'Polluted_water\\images (53)(1).jpg',1.6502,1.6476,1.5571,0.2563,0.259,0.3116,0.0042,0.0044,0.0017,Polluted
 'Polluted_water\\images (53)(2).jpg',1.3775,1.5039,1.3395,0.3032,0.3044,0.408,0.0001,-0.0002,-0.001,Polluted
 'Polluted_water\\images (53).jpg',1.3512,1.4313,1.4357,0.2921,0.3717,0.5551,0.0056,0.0054,0.0031,Polluted
 'Polluted_water\\images (54)(1).jpg',1.2916,1.3341,1.2674,0.2477,0.261,0.4142,0.0027,0.0027,0.0016,Polluted
 'Polluted_water\\images (54)(2).jpg',1.1075,1.3194,1.2454,0.4876,0.4881,0.5826,-0.0031,-0.0029,0.0027,Polluted
 'Polluted_water\\images (54).jpg',0.9447,1.0149,1.0575,0.1488,0.144,0.1571,-0.001,-0.0022,-0.0041,Polluted
 'Polluted_water\\images (55)(1).jpg',1.6468,1.6825,1.5301,0.3442,0.3669,0.4309,0.0019,0.0019,0.0012,Polluted
 'Polluted_water\\images (55)(2).jpg',1.0151,1.158,1.3477,0.2345,0.2369,0.3056,-0.0023,-0.0028,-0.0045,Polluted
 'Polluted_water\\images (55).jpg',0.9429,0.9662,0.9434,0.4402,0.4512,0.4908,0.0022,0.0022,0.0021,Polluted
 'Polluted_water\\images (56)(1).jpg',1.429,1.471,1.3345,0.4154,0.428,0.443,0.0032,0.003,0.0024,Polluted
 'Polluted_water\\images (56)(2).jpg',1.2421,1.344,1.3791,0.2917,0.286,0.3223,-0.0034,-0.0034,-0.0031,Polluted
 'Polluted_water\\images (56).jpg',1.1718,1.1631,1.0341,0.2965,0.295,0.3106,0.0052,0.0054,0.0062,Polluted
 'Polluted_water\\images (57)(1).jpg',1.359,1.4958,1.5119,0.1987,0.2814,0.5207,0.0043,-0.0003,-0.0038,Polluted
 'Polluted_water\\images (57)(2).jpg',0.9843,1.3822,1.1327,0.3537,0.3769,0.4758,-0.0041,-0.0047,-0.0046,Polluted
 'Polluted_water\\images (57).jpg',0.8906,0.8473,0.6686,0.2097,0.2074,0.222,0.0191,0.0203,0.0185,Polluted
 'Polluted_water\\images (58)(1).jpg',1.3512,1.4313,1.4357,0.2921,0.3717,0.5551,0.0056,0.0054,0.0031,Polluted
 'Polluted_water\\images (58)(2).jpg',1.2916,1.3341,1.2674,0.2477,0.261,0.4142,0.0027,0.0027,0.0016,Polluted
 'Polluted_water\\images (58).jpg',0.9976,0.985,0.9437,0.4007,0.4051,0.4178,0.024,0.0247,0.0243,Polluted
 'Polluted_water\\images (59)(1).jpg',1.2481,1.4733,1.1395,0.0916,0.1102,0.2486,0.0091,0.0188,0.0117,Polluted
 'Polluted_water\\images (59)(2).jpg',1.2481,1.4733,1.1395,0.0916,0.1102,0.2486,0.0091,0.0188,0.0117,Polluted
 'Polluted_water\\images (59).jpg',1.3985,1.3826,1.3707,0.6454,0.651,0.665,-0.0042,-0.0045,-0.0049,Polluted
 'Polluted_water\\images (6)(1).jpg',1.658,1.6887,1.4963,0.226,0.2225,0.2474,0.0106,0.0107,0.0101,Polluted
 'Polluted_water\\images (6)(2).jpg',1.2975,1.2846,1.2105,0.5172,0.5045,0.5226,-0.0015,-0.0016,-0.0009,Polluted
 'Polluted_water\\images (6).jpg',0.58,0.79,0.7916,0.2411,0.2779,0.3659,0.0124,0.0101,0.0082,Polluted
 'Polluted_water\\images (60)(1).jpg',1.3604,1.3789,1.3801,0.3227,0.3406,0.5807,0.0069,0.0065,0.0039,Polluted
 'Polluted_water\\images (60)(2).jpg',1.1075,1.3194,1.2454,0.4876,0.4881,0.5826,-0.0031,-0.0029,0.0027,Polluted
 'Polluted_water\\images (60).jpg',1.4039,1.4306,1.4936,0.3437,0.3473,0.3492,-0.0018,-0.0026,-0.0023,Polluted
 'Polluted_water\\images (61)(1).jpg',1.2916,1.3341,1.2674,0.2477,0.261,0.4142,0.0027,0.0027,0.0016,Polluted
 'Polluted_water\\images (61)(2).jpg',1.3604,1.3789,1.3801,0.3227,0.3406,0.5807,0.0069,0.0065,0.0039,Polluted
 'Polluted_water\\images (61).jpg',1.5688,1.5931,1.5826,0.1671,0.1736,0.183,0.0057,0.0076,0.009,Polluted
 'Polluted_water\\images (62)(1).jpg',1.3922,1.4014,1.3505,0.285,0.2792,0.3232,0.0063,0.0064,0.0056,Polluted
 'Polluted_water\\images (62)(2).jpg',1.6317,1.6367,1.2405,0.0824,0.0838,0.1369,0.01,0.0108,0.0124,Polluted
 'Polluted_water\\images (62).jpg',1.1287,1.0684,1.0295,0.3942,0.4065,0.4174,0.0062,0.0064,0.0063,Polluted
 'Polluted_water\\images (63)(1).jpg',1.33,1.3796,1.2938,0.3651,0.3032,0.4713,-0.002,-0.0042,-0.004,Polluted
 'Polluted_water\\images (63)(2).jpg',1.7209,1.7575,1.5281,0.1757,0.2126,0.4685,0.0104,0.0103,0.006,Polluted
 'Polluted_water\\images (63).jpg',1.1882,1.184,1.1174,0.3425,0.3452,0.3761,0.0039,0.0041,0.0038,Polluted
 'Polluted_water\\images (64)(1).jpg',0.964,1.0912,1.0926,0.1873,0.1898,0.2041,0.0089,0.008,0.0055,Polluted
 'Polluted_water\\images (64)(2).jpg',1.532,1.5562,1.5793,0.1916,0.1893,0.2874,0.0052,0.0082,0.0085,Polluted
 'Polluted_water\\images (64).jpg',1.3398,1.3478,1.3099,0.4484,0.4525,0.4754,-0.0043,-0.0041,-0.0047,Polluted
 'Polluted_water\\images (65)(1).jpg',1.6192,1.5591,1.3963,0.1555,0.1596,0.1883,0.004,0.0043,0.0052,Polluted
 'Polluted_water\\images (65)(2).jpg',1.2419,1.2598,1.1614,0.219,0.2131,0.3258,0.011,0.0098,0.0047,Polluted
 'Polluted_water\\images (65).jpg',1.2852,1.3185,1.2535,0.3834,0.3837,0.381,0.0032,0.0029,0.0031,Polluted
 'Polluted_water\\images (66)(1).jpg',1.6629,1.6231,1.4457,0.2996,0.3205,0.3817,0.0032,0.0025,0.0017,Polluted
 'Polluted_water\\images (66)(2).jpg',1.4066,1.4528,1.4316,0.471,0.5115,0.5466,0.0035,0.004,0.0037,Polluted
 'Polluted_water\\images (66).jpg',1.361,1.3315,1.2935,0.488,0.488,0.4933,0.0014,0.0016,0.0019,Polluted
 'Polluted_water\\images (67)(1).jpg',1.453,1.6269,1.3415,0.284,0.2761,0.2925,0.0061,0.0055,0.0058,Polluted
 'Polluted_water\\images (67)(2).jpg',1.3775,1.5039,1.3395,0.3032,0.3044,0.408,0.0001,-0.0002,-0.001,Polluted
 'Polluted_water\\images (67).jpg',1.3398,1.3478,1.3099,0.4484,0.4525,0.4754,-0.0043,-0.0041,-0.0047,Polluted
 'Polluted_water\\images (68)(1).jpg',1.2382,1.2557,1.1532,0.2098,0.2029,0.3179,0.0098,0.0088,0.0043,Polluted
 'Polluted_water\\images (68)(2).jpg',0.9476,0.9144,0.7611,0.3538,0.3654,0.5211,0.0051,0.0073,0.011,Polluted
 'Polluted_water\\images (68).jpg',1.6992,1.608,1.415,0.411,0.4637,0.6295,-0.0041,-0.0041,-0.0046,Polluted
 'Polluted_water\\images (69)(1).jpg',1.495,1.6493,1.4845,0.2845,0.2764,0.2752,0.0032,0.0041,0.004,Polluted
 'Polluted_water\\images (69)(2).jpg',1.4644,1.4452,1.4081,0.2696,0.266,0.3251,0.0006,0.0003,0.0012,Polluted
 'Polluted_water\\images (69).jpg',1.0358,1.0674,0.7916,0.494,0.4892,0.5058,0.0104,0.0096,0.0177,Polluted
 'Polluted_water\\images (7)(1).jpg',0.996,1.1889,0.7768,0.1937,0.1933,0.2461,0.0255,0.0258,0.0212,Polluted
 'Polluted_water\\images (7)(2).jpg',0.9344,1.0106,0.8937,0.3133,0.317,0.3712,0.0119,0.0118,0.0117,Polluted
 'Polluted_water\\images (7).jpg',1.7654,1.8643,1.8521,0.3291,0.2638,0.312,-0.0041,-0.0029,-0.0037,Polluted
 'Polluted_water\\images (70)(1).jpg',1.5658,1.4912,1.3572,0.2279,0.2341,0.2622,0.0048,0.0054,0.0066,Polluted
 'Polluted_water\\images (70)(2).jpg',1.0264,1.2413,1.2265,0.444,0.4306,0.496,0.0096,0.007,0.0032,Polluted
 'Polluted_water\\images (70).jpg',1.4542,1.461,1.4367,0.3282,0.3354,0.357,-0.0031,-0.0033,-0.0035,Polluted
 'Polluted_water\\images (71)(1).jpg',1.4292,1.4817,1.3969,0.1957,0.192,0.2124,0.0006,0.0005,0.0007,Polluted
 'Polluted_water\\images (71)(2).jpg',1.3708,1.5662,1.5429,0.6584,0.5426,0.6388,0.0036,0.004,0.0023,Polluted
 'Polluted_water\\images (71).jpg',1.5305,1.535,1.5887,0.2043,0.2032,0.2034,0.0007,0.0009,0.0007,Polluted
 'Polluted_water\\images (72)(1).jpg',1.0795,1.1846,1.1285,0.2477,0.2664,0.3441,0.0018,0.0012,0.0004,Polluted
 'Polluted_water\\images (72)(2).jpg',1.5121,1.5404,1.4667,0.526,0.566,0.6295,0.003,0.0029,0.0023,Polluted
 'Polluted_water\\images (72).jpg',1.1311,1.1364,1.0875,0.6162,0.6114,0.6372,-0.0003,-0.0003,0.0001,Polluted
 'Polluted_water\\images (73)(1).jpg',1.2064,1.2936,1.2531,0.1921,0.1924,0.2376,0.0052,0.0045,-0.0002,Polluted
 'Polluted_water\\images (73)(2).jpg',1.3998,1.4383,1.3571,0.2666,0.2839,0.3891,0.0095,0.0085,0.0065,Polluted
 'Polluted_water\\images (73).jpg',1.2312,1.2875,1.0945,0.4106,0.4045,0.4444,-0.0073,-0.0072,-0.0067,Polluted
 'Polluted_water\\images (74)(1).jpg',1.429,1.471,1.3345,0.4154,0.428,0.443,0.0032,0.003,0.0024,Polluted
 'Polluted_water\\images (74)(2).jpg',1.0679,1.027,0.9091,0.5545,0.4783,0.6297,-0.0012,0.0008,0.002,Polluted
 'Polluted_water\\images (74).jpg',1.4748,1.4772,1.4589,0.2318,0.2332,0.2416,-0.0002,-0.0001,-0.0003,Polluted
 'Polluted_water\\images (75)(1).jpg',1.3775,1.5039,1.3395,0.3032,0.3044,0.408,0.0001,-0.0002,-0.001,Polluted
 'Polluted_water\\images (75)(2).jpg',1.5078,1.6202,1.5612,0.153,0.1618,0.2325,0.0023,0.003,0.0058,Polluted
 'Polluted_water\\images (75).jpg',1.2268,1.2058,1.2505,0.558,0.5518,0.5756,-0.0003,0.0004,-0.0013,Polluted
 'Polluted_water\\images (76)(1).jpg',0.9539,0.9341,0.7346,0.3468,0.3481,0.4248,0.0064,0.0073,0.008,Polluted
 'Polluted_water\\images (76)(2).jpg',1.408,1.3682,1.281,0.4578,0.5007,0.5914,0.0031,0.0037,0.0039,Polluted
 'Polluted_water\\images (76).jpg',0.7657,0.7506,0.7061,0.2783,0.2721,0.2805,0.007,0.0066,0.0051,Polluted
 'Polluted_water\\images (77)(1).jpg',1.1381,1.1276,1.1186,0.1561,0.1947,0.2555,0.0017,0.0016,0.001,Polluted
 'Polluted_water\\images (77)(2).jpg',0.7579,0.8183,0.8699,0.5209,0.4598,0.4916,0.0014,0.0013,0,Polluted
 'Polluted_water\\images (77).jpg',1.5358,1.5843,1.7572,0.4997,0.4942,0.5077,-0.005,-0.005,-0.0054,Polluted
 'Polluted_water\\images (78)(1).jpg',1.0346,1.0531,0.8887,0.3405,0.325,0.3336,-0.0007,0.0002,0.0037,Polluted
 'Polluted_water\\images (78)(2).jpg',1.33,1.3796,1.2938,0.3651,0.3032,0.4713,-0.002,-0.0042,-0.004,Polluted
 'Polluted_water\\images (78).jpg',1.0221,1.0021,0.9463,0.3581,0.3557,0.3996,-0.0086,-0.0089,-0.0093,Polluted
 'Polluted_water\\images (79)(1).jpg',1.274,1.2756,1.1909,0.3275,0.3165,0.3259,0.007,0.0059,0.0021,Polluted
 'Polluted_water\\images (79)(2).jpg',1.6771,1.5822,1.2222,0.2536,0.2193,0.251,-0.0103,-0.0023,0.0061,Polluted
 'Polluted_water\\images (79).jpg',1.0431,1.0549,1.0209,0.6165,0.6107,0.5937,0.0082,0.0079,0.0075,Polluted
